id,damage_gra,damage_class,damage_percent,cd_value,obj_type,name,info,simplified,det_method,notation,source_layer,source_geometry,monitor_version,centroid_lat,centroid_lon,google_maps_url
monit01_00001,Possibly damaged,possibly-damaged,35,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51341242,-66.90314816,"https://www.google.com/maps/search/?api=1&query=10.51341242,-66.90314816"
monit01_00002,Destroyed,destroyed,100,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.5134743,-66.9033068,"https://www.google.com/maps/search/?api=1&query=10.5134743,-66.9033068"
monit01_00003,Possibly damaged,possibly-damaged,35,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51354168,-66.90342053,"https://www.google.com/maps/search/?api=1&query=10.51354168,-66.90342053"
monit01_00004,Possibly damaged,possibly-damaged,35,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51430997,-66.92484585,"https://www.google.com/maps/search/?api=1&query=10.51430997,-66.92484585"
monit01_00005,Possibly damaged,possibly-damaged,35,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51465842,-66.89870901,"https://www.google.com/maps/search/?api=1&query=10.51465842,-66.89870901"
monit01_00006,Possibly damaged,possibly-damaged,35,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51471405,-66.8989624,"https://www.google.com/maps/search/?api=1&query=10.51471405,-66.8989624"
monit01_00007,Possibly damaged,possibly-damaged,35,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51495815,-66.89890069,"https://www.google.com/maps/search/?api=1&query=10.51495815,-66.89890069"
monit01_00008,Possibly damaged,possibly-damaged,35,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51503577,-66.8989829,"https://www.google.com/maps/search/?api=1&query=10.51503577,-66.8989829"
monit01_00009,Possibly damaged,possibly-damaged,35,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51510357,-66.8988807,"https://www.google.com/maps/search/?api=1&query=10.51510357,-66.8988807"
monit01_00010,Destroyed,destroyed,100,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51512077,-66.89876952,"https://www.google.com/maps/search/?api=1&query=10.51512077,-66.89876952"
monit01_00011,Possibly damaged,possibly-damaged,35,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51456294,-66.89845332,"https://www.google.com/maps/search/?api=1&query=10.51456294,-66.89845332"
monit01_00012,Possibly damaged,possibly-damaged,35,Not Applicable,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.51460125,-66.8985742,"https://www.google.com/maps/search/?api=1&query=10.51460125,-66.8985742"
