id,official_ems_damage_gra,vlm_damage_class,confidence,action_priority,compare_chip,google_maps_url
ems_00001,Possibly damaged,uncertain_comparison_problem,0.25,review,/data/chips/emsr884-aoi02-caracas/ems_00001_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.41011488724138,-66.87462265793104"
ems_00002,Possibly damaged,no_change_visible,0.45,deprioritize,/data/chips/emsr884-aoi02-caracas/ems_00002_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.420613626522911,-66.8754913893531"
ems_00003,Possibly damaged,uncertain_comparison_problem,0.3,review,/data/chips/emsr884-aoi02-caracas/ems_00003_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.458422218,-66.88477057033333"
ems_00004,Possibly damaged,uncertain_comparison_problem,0.25,urgent_review,/data/chips/emsr884-aoi02-caracas/ems_00004_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.485230658461537,-66.87559116153847"
ems_00005,Possibly damaged,uncertain_comparison_problem,low,review,/data/chips/emsr884-aoi02-caracas/ems_00005_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.485522712142856,-66.87600500571429"
ems_00007,Possibly damaged,uncertain_comparison_problem,low,urgent_review,/data/chips/emsr884-aoi02-caracas/ems_00007_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.486959504642856,-66.86884958125"
ems_00008,Possibly damaged,uncertain_comparison_problem,low,review,/data/chips/emsr884-aoi02-caracas/ems_00008_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.490889952307693,-66.8711145376923"
ems_00006,Possibly damaged,uncertain_comparison_problem,low,review,/data/chips/emsr884-aoi02-caracas/ems_00006_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.486806234948453,-66.873825604433"
ems_00009,Possibly damaged,uncertain_comparison_problem,0.35,review,/data/chips/emsr884-aoi02-caracas/ems_00009_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.429571450000001,-66.93619210675"
ems_00010,Possibly damaged,uncertain_comparison_problem,low,review,/data/chips/emsr884-aoi02-caracas/ems_00010_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.43035742,-66.8898254952174"
ems_00011,Possibly damaged,uncertain_comparison_problem,0.3,review,/data/chips/emsr884-aoi02-caracas/ems_00011_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.436202353913044,-66.92845719260869"
ems_00012,Possibly damaged,uncertain_comparison_problem,low,review,/data/chips/emsr884-aoi02-caracas/ems_00012_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.44331577688889,-66.92952980177778"
ems_00013,Possibly damaged,uncertain_comparison_problem,low,review,/data/chips/emsr884-aoi02-caracas/ems_00013_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.448739648181817,-66.92763285363637"
ems_00014,Possibly damaged,uncertain_comparison_problem,0.25,review,/data/chips/emsr884-aoi02-caracas/ems_00014_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.449392178333333,-66.93074623"
ems_00015,Possibly damaged,minor_visible_damage,0.45,review,/data/chips/emsr884-aoi02-caracas/ems_00015_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.449725828888889,-66.93377004222222"
ems_00016,Possibly damaged,uncertain_comparison_problem,0.25,review,/data/chips/emsr884-aoi02-caracas/ems_00016_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.4779622375,-66.9124807975"
ems_00017,Possibly damaged,uncertain_comparison_problem,0.15,urgent_review,/data/chips/emsr884-aoi02-caracas/ems_00017_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.483774746842107,-66.91710993"
