id,damage_gra,damage_class,damage_percent,cd_value,obj_type,name,info,simplified,det_method,notation,source_layer,source_geometry,monitor_version,centroid_lat,centroid_lon,google_maps_url
monit01_00001,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.46752933,-68.24952672,"https://www.google.com/maps/search/?api=1&query=10.46752933,-68.24952672"
monit01_00002,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.46761165,-68.25010793,"https://www.google.com/maps/search/?api=1&query=10.46761165,-68.25010793"
monit01_00003,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.46765525,-68.24976416,"https://www.google.com/maps/search/?api=1&query=10.46765525,-68.24976416"
monit01_00004,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4677152,-68.24948187,"https://www.google.com/maps/search/?api=1&query=10.4677152,-68.24948187"
monit01_00005,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.46776494,-68.24979425,"https://www.google.com/maps/search/?api=1&query=10.46776494,-68.24979425"
monit01_00006,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.46792109,-68.2494694,"https://www.google.com/maps/search/?api=1&query=10.46792109,-68.2494694"
monit01_00007,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.46824808,-68.24995264,"https://www.google.com/maps/search/?api=1&query=10.46824808,-68.24995264"
monit01_00008,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.46998272,-68.242342,"https://www.google.com/maps/search/?api=1&query=10.46998272,-68.242342"
monit01_00009,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47293615,-68.2119996,"https://www.google.com/maps/search/?api=1&query=10.47293615,-68.2119996"
monit01_00010,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47295348,-68.21209985,"https://www.google.com/maps/search/?api=1&query=10.47295348,-68.21209985"
monit01_00011,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47284375,-68.2119223,"https://www.google.com/maps/search/?api=1&query=10.47284375,-68.2119223"
monit01_00012,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47288978,-68.21197469,"https://www.google.com/maps/search/?api=1&query=10.47288978,-68.21197469"
monit01_00013,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4730193,-68.2117018,"https://www.google.com/maps/search/?api=1&query=10.4730193,-68.2117018"
monit01_00014,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47318422,-68.21190159,"https://www.google.com/maps/search/?api=1&query=10.47318422,-68.21190159"
monit01_00015,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47330539,-68.21199627,"https://www.google.com/maps/search/?api=1&query=10.47330539,-68.21199627"
monit01_00016,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47344295,-68.21194835,"https://www.google.com/maps/search/?api=1&query=10.47344295,-68.21194835"
monit01_00017,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47363425,-68.20947623,"https://www.google.com/maps/search/?api=1&query=10.47363425,-68.20947623"
monit01_00018,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47445197,-68.20811715,"https://www.google.com/maps/search/?api=1&query=10.47445197,-68.20811715"
monit01_00019,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47450239,-68.20184875,"https://www.google.com/maps/search/?api=1&query=10.47450239,-68.20184875"
monit01_00020,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47452427,-68.21145731,"https://www.google.com/maps/search/?api=1&query=10.47452427,-68.21145731"
monit01_00021,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47300486,-68.21200153,"https://www.google.com/maps/search/?api=1&query=10.47300486,-68.21200153"
monit01_00022,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4730698,-68.2120771,"https://www.google.com/maps/search/?api=1&query=10.4730698,-68.2120771"
monit01_00023,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4732176,-68.2120482,"https://www.google.com/maps/search/?api=1&query=10.4732176,-68.2120482"
monit01_00024,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47330015,-68.21207965,"https://www.google.com/maps/search/?api=1&query=10.47330015,-68.21207965"
monit01_00025,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47339366,-68.21204492,"https://www.google.com/maps/search/?api=1&query=10.47339366,-68.21204492"
monit01_00026,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47365898,-68.23464376,"https://www.google.com/maps/search/?api=1&query=10.47365898,-68.23464376"
monit01_00027,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47376133,-68.23464305,"https://www.google.com/maps/search/?api=1&query=10.47376133,-68.23464305"
monit01_00028,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47376631,-68.23452642,"https://www.google.com/maps/search/?api=1&query=10.47376631,-68.23452642"
monit01_00029,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47490133,-68.22559604,"https://www.google.com/maps/search/?api=1&query=10.47490133,-68.22559604"
monit01_00030,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47498386,-68.22585073,"https://www.google.com/maps/search/?api=1&query=10.47498386,-68.22585073"
monit01_00031,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47501801,-68.22562633,"https://www.google.com/maps/search/?api=1&query=10.47501801,-68.22562633"
monit01_00032,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47504898,-68.22553311,"https://www.google.com/maps/search/?api=1&query=10.47504898,-68.22553311"
monit01_00033,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4750743,-68.22560305,"https://www.google.com/maps/search/?api=1&query=10.4750743,-68.22560305"
monit01_00034,Destroyed,destroyed,100,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4755026,-68.21248711,"https://www.google.com/maps/search/?api=1&query=10.4755026,-68.21248711"
monit01_00035,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47452545,-68.20841435,"https://www.google.com/maps/search/?api=1&query=10.47452545,-68.20841435"
monit01_00036,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.4745558,-68.21132485,"https://www.google.com/maps/search/?api=1&query=10.4745558,-68.21132485"
monit01_00037,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47461811,-68.20855227,"https://www.google.com/maps/search/?api=1&query=10.47461811,-68.20855227"
monit01_00038,Damaged,damaged,70,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47472785,-68.20843593,"https://www.google.com/maps/search/?api=1&query=10.47472785,-68.20843593"
monit01_00039,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47979892,-68.20223262,"https://www.google.com/maps/search/?api=1&query=10.47979892,-68.20223262"
monit01_00040,Possibly damaged,possibly-damaged,35,New,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Photo-interpretation,Building point,builtUpP_v1,Point,GRA_MONIT01,10.47985844,-68.20218367,"https://www.google.com/maps/search/?api=1&query=10.47985844,-68.20218367"
