id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00001,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.469884516,-68.242143162,"https://www.google.com/maps/search/?api=1&query=10.469884516,-68.242143162"
ems_00002,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.473201804999999,-68.21159007700001,"https://www.google.com/maps/search/?api=1&query=10.473201804999999,-68.21159007700001"
ems_00003,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.4733741440625,-68.209492080625,"https://www.google.com/maps/search/?api=1&query=10.4733741440625,-68.209492080625"
ems_00004,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.473705795625,-68.234726115625,"https://www.google.com/maps/search/?api=1&query=10.473705795625,-68.234726115625"
ems_00005,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.473703423063062,-68.20226592396396,"https://www.google.com/maps/search/?api=1&query=10.473703423063062,-68.20226592396396"
ems_00006,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.473801088666667,-68.23159837733333,"https://www.google.com/maps/search/?api=1&query=10.473801088666667,-68.23159837733333"
ems_00007,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.47382099375,-68.230211555,"https://www.google.com/maps/search/?api=1&query=10.47382099375,-68.230211555"
ems_00008,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.473882551666668,-68.22948544277777,"https://www.google.com/maps/search/?api=1&query=10.473882551666668,-68.22948544277777"
ems_00009,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.474264878431374,-68.23075992941176,"https://www.google.com/maps/search/?api=1&query=10.474264878431374,-68.23075992941176"
ems_00010,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.47418197984252,-68.20354024692912,"https://www.google.com/maps/search/?api=1&query=10.47418197984252,-68.20354024692912"
ems_00011,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.474521034444443,-68.21126669777779,"https://www.google.com/maps/search/?api=1&query=10.474521034444443,-68.21126669777779"
ems_00012,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.474278510789473,-68.20803736578948,"https://www.google.com/maps/search/?api=1&query=10.474278510789473,-68.20803736578948"
ems_00013,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building block,994,2,10.474491741538461,-68.23004430076922,"https://www.google.com/maps/search/?api=1&query=10.474491741538461,-68.23004430076922"
ems_00014,EMSR884_AOI06_GRA_v1,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Damaged,damaged,70,Photo-interpretation,Building block,994,2,10.47511327,-68.22555805142858,"https://www.google.com/maps/search/?api=1&query=10.47511327,-68.22555805142858"
