id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00001,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24332479,-68.84690108,"https://www.google.com/maps/search/?api=1&query=10.24332479,-68.84690108"
ems_00002,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24349367,-68.84670165,"https://www.google.com/maps/search/?api=1&query=10.24349367,-68.84670165"
ems_00003,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24364916,-68.84687422,"https://www.google.com/maps/search/?api=1&query=10.24364916,-68.84687422"
ems_00004,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.2438016,-68.84853175,"https://www.google.com/maps/search/?api=1&query=10.2438016,-68.84853175"
ems_00005,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24403859,-68.84765772,"https://www.google.com/maps/search/?api=1&query=10.24403859,-68.84765772"
ems_00006,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24404445,-68.84716412,"https://www.google.com/maps/search/?api=1&query=10.24404445,-68.84716412"
ems_00007,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24432473,-68.84804802,"https://www.google.com/maps/search/?api=1&query=10.24432473,-68.84804802"
ems_00008,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.244985,-68.847298,"https://www.google.com/maps/search/?api=1&query=10.244985,-68.847298"
ems_00009,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24498859,-68.85252553,"https://www.google.com/maps/search/?api=1&query=10.24498859,-68.85252553"
ems_00010,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.245267,-68.84756473,"https://www.google.com/maps/search/?api=1&query=10.245267,-68.84756473"
ems_00011,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.2454208,-68.85072935,"https://www.google.com/maps/search/?api=1&query=10.2454208,-68.85072935"
ems_00012,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24549795,-68.85318267,"https://www.google.com/maps/search/?api=1&query=10.24549795,-68.85318267"
ems_00013,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24550092,-68.85080965,"https://www.google.com/maps/search/?api=1&query=10.24550092,-68.85080965"
ems_00014,EMSR884_AOI08_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,5,10.24556855,-68.8508575,"https://www.google.com/maps/search/?api=1&query=10.24556855,-68.8508575"
