id,aoi,obj_type,name,info,simplified,damage_gra,damage_class,damage_percent,det_method,notation,or_src_id,dmg_src_id,centroid_lat,centroid_lon,google_maps_url
ems_00001,EMSR884_AOI12_GRA_MONIT01,11-Residential Buildings,Unknown,997-Not Applicable,Residential,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,1,3,10.58800407,-67.06339977,"https://www.google.com/maps/search/?api=1&query=10.58800407,-67.06339977"
ems_00002,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.58947803,-67.04924789,"https://www.google.com/maps/search/?api=1&query=10.58947803,-67.04924789"
ems_00003,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.59088824,-67.0507399,"https://www.google.com/maps/search/?api=1&query=10.59088824,-67.0507399"
ems_00004,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.59182655,-67.0516281,"https://www.google.com/maps/search/?api=1&query=10.59182655,-67.0516281"
ems_00005,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.59200149,-67.05104872,"https://www.google.com/maps/search/?api=1&query=10.59200149,-67.05104872"
ems_00006,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.59616566,-67.0370747,"https://www.google.com/maps/search/?api=1&query=10.59616566,-67.0370747"
ems_00007,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60003628,-67.03931648,"https://www.google.com/maps/search/?api=1&query=10.60003628,-67.03931648"
ems_00008,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60025939,-67.03951544,"https://www.google.com/maps/search/?api=1&query=10.60025939,-67.03951544"
ems_00009,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60048652,-67.03874557,"https://www.google.com/maps/search/?api=1&query=10.60048652,-67.03874557"
ems_00010,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60057424,-67.03873839,"https://www.google.com/maps/search/?api=1&query=10.60057424,-67.03873839"
ems_00011,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60017264,-67.02481889,"https://www.google.com/maps/search/?api=1&query=10.60017264,-67.02481889"
ems_00012,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60035072,-67.02487069,"https://www.google.com/maps/search/?api=1&query=10.60035072,-67.02487069"
ems_00013,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.6003544,-67.0246325,"https://www.google.com/maps/search/?api=1&query=10.6003544,-67.0246325"
ems_00014,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60055435,-67.0247561,"https://www.google.com/maps/search/?api=1&query=10.60055435,-67.0247561"
ems_00015,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.6008516,-67.02475369,"https://www.google.com/maps/search/?api=1&query=10.6008516,-67.02475369"
ems_00016,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60128997,-67.02686354,"https://www.google.com/maps/search/?api=1&query=10.60128997,-67.02686354"
ems_00017,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60131443,-67.02680608,"https://www.google.com/maps/search/?api=1&query=10.60131443,-67.02680608"
ems_00018,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60226023,-67.02943416,"https://www.google.com/maps/search/?api=1&query=10.60226023,-67.02943416"
ems_00019,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60245212,-67.02460874,"https://www.google.com/maps/search/?api=1&query=10.60245212,-67.02460874"
ems_00020,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60254452,-67.02603945,"https://www.google.com/maps/search/?api=1&query=10.60254452,-67.02603945"
ems_00021,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60153447,-67.03227849,"https://www.google.com/maps/search/?api=1&query=10.60153447,-67.03227849"
ems_00022,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60190384,-67.0306288,"https://www.google.com/maps/search/?api=1&query=10.60190384,-67.0306288"
ems_00023,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60195357,-67.03051456,"https://www.google.com/maps/search/?api=1&query=10.60195357,-67.03051456"
ems_00024,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60200265,-67.0307767,"https://www.google.com/maps/search/?api=1&query=10.60200265,-67.0307767"
ems_00025,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60200549,-67.03065306,"https://www.google.com/maps/search/?api=1&query=10.60200549,-67.03065306"
ems_00026,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60205745,-67.03021903,"https://www.google.com/maps/search/?api=1&query=10.60205745,-67.03021903"
ems_00027,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.6020621,-67.03053339,"https://www.google.com/maps/search/?api=1&query=10.6020621,-67.03053339"
ems_00028,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.6020876,-67.03036775,"https://www.google.com/maps/search/?api=1&query=10.6020876,-67.03036775"
ems_00029,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60210138,-67.03022968,"https://www.google.com/maps/search/?api=1&query=10.60210138,-67.03022968"
ems_00030,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60210289,-67.03014697,"https://www.google.com/maps/search/?api=1&query=10.60210289,-67.03014697"
ems_00031,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60210972,-67.03076852,"https://www.google.com/maps/search/?api=1&query=10.60210972,-67.03076852"
ems_00032,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60211502,-67.03067122,"https://www.google.com/maps/search/?api=1&query=10.60211502,-67.03067122"
ems_00033,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60215297,-67.03024226,"https://www.google.com/maps/search/?api=1&query=10.60215297,-67.03024226"
ems_00034,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60218502,-67.03006785,"https://www.google.com/maps/search/?api=1&query=10.60218502,-67.03006785"
ems_00035,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60221532,-67.03013695,"https://www.google.com/maps/search/?api=1&query=10.60221532,-67.03013695"
ems_00036,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60225364,-67.02958176,"https://www.google.com/maps/search/?api=1&query=10.60225364,-67.02958176"
ems_00037,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60231086,-67.03123908,"https://www.google.com/maps/search/?api=1&query=10.60231086,-67.03123908"
ems_00038,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.602317,-67.02985136,"https://www.google.com/maps/search/?api=1&query=10.602317,-67.02985136"
ems_00039,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.6023463,-67.02976112,"https://www.google.com/maps/search/?api=1&query=10.6023463,-67.02976112"
ems_00040,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60240617,-67.03082918,"https://www.google.com/maps/search/?api=1&query=10.60240617,-67.03082918"
ems_00041,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.6006326,-67.03885453,"https://www.google.com/maps/search/?api=1&query=10.6006326,-67.03885453"
ems_00042,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60068205,-67.03876235,"https://www.google.com/maps/search/?api=1&query=10.60068205,-67.03876235"
ems_00043,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60075341,-67.03905032,"https://www.google.com/maps/search/?api=1&query=10.60075341,-67.03905032"
ems_00044,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60225534,-67.03809466,"https://www.google.com/maps/search/?api=1&query=10.60225534,-67.03809466"
ems_00045,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60250369,-67.0332302,"https://www.google.com/maps/search/?api=1&query=10.60250369,-67.0332302"
ems_00046,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60251323,-67.03670699,"https://www.google.com/maps/search/?api=1&query=10.60251323,-67.03670699"
ems_00047,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60274475,-67.03589723,"https://www.google.com/maps/search/?api=1&query=10.60274475,-67.03589723"
ems_00048,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60353866,-67.03274106,"https://www.google.com/maps/search/?api=1&query=10.60353866,-67.03274106"
ems_00049,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60390385,-67.03358822,"https://www.google.com/maps/search/?api=1&query=10.60390385,-67.03358822"
ems_00050,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60403962,-67.03293026,"https://www.google.com/maps/search/?api=1&query=10.60403962,-67.03293026"
ems_00051,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60260908,-67.02601109,"https://www.google.com/maps/search/?api=1&query=10.60260908,-67.02601109"
ems_00052,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60268736,-67.02606228,"https://www.google.com/maps/search/?api=1&query=10.60268736,-67.02606228"
ems_00053,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60275295,-67.02650823,"https://www.google.com/maps/search/?api=1&query=10.60275295,-67.02650823"
ems_00054,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Destroyed,destroyed,100,Photo-interpretation,Building point,2,3,10.60305835,-67.02787263,"https://www.google.com/maps/search/?api=1&query=10.60305835,-67.02787263"
ems_00055,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60319267,-67.0291956,"https://www.google.com/maps/search/?api=1&query=10.60319267,-67.0291956"
ems_00056,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.6031938,-67.02816487,"https://www.google.com/maps/search/?api=1&query=10.6031938,-67.02816487"
ems_00057,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60321707,-67.028074,"https://www.google.com/maps/search/?api=1&query=10.60321707,-67.028074"
ems_00058,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.6032661,-67.0293555,"https://www.google.com/maps/search/?api=1&query=10.6032661,-67.0293555"
ems_00059,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60326643,-67.02655241,"https://www.google.com/maps/search/?api=1&query=10.60326643,-67.02655241"
ems_00060,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60331352,-67.02791168,"https://www.google.com/maps/search/?api=1&query=10.60331352,-67.02791168"
ems_00061,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60298606,-67.02974675,"https://www.google.com/maps/search/?api=1&query=10.60298606,-67.02974675"
ems_00062,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60301233,-67.03066365,"https://www.google.com/maps/search/?api=1&query=10.60301233,-67.03066365"
ems_00063,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60308009,-67.03063863,"https://www.google.com/maps/search/?api=1&query=10.60308009,-67.03063863"
ems_00064,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.6031743,-67.02980772,"https://www.google.com/maps/search/?api=1&query=10.6031743,-67.02980772"
ems_00065,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60330737,-67.0305893,"https://www.google.com/maps/search/?api=1&query=10.60330737,-67.0305893"
ems_00066,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60354513,-67.02954505,"https://www.google.com/maps/search/?api=1&query=10.60354513,-67.02954505"
ems_00067,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.60361995,-67.02976067,"https://www.google.com/maps/search/?api=1&query=10.60361995,-67.02976067"
ems_00068,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.6036406,-67.03205371,"https://www.google.com/maps/search/?api=1&query=10.6036406,-67.03205371"
ems_00069,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60364555,-67.02981855,"https://www.google.com/maps/search/?api=1&query=10.60364555,-67.02981855"
ems_00070,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.6039243,-67.03186088,"https://www.google.com/maps/search/?api=1&query=10.6039243,-67.03186088"
ems_00071,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.6033848,-67.02842878,"https://www.google.com/maps/search/?api=1&query=10.6033848,-67.02842878"
ems_00072,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60339833,-67.02655579,"https://www.google.com/maps/search/?api=1&query=10.60339833,-67.02655579"
ems_00073,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60349043,-67.02830723,"https://www.google.com/maps/search/?api=1&query=10.60349043,-67.02830723"
ems_00074,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60361413,-67.02776883,"https://www.google.com/maps/search/?api=1&query=10.60361413,-67.02776883"
ems_00075,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60363339,-67.02645052,"https://www.google.com/maps/search/?api=1&query=10.60363339,-67.02645052"
ems_00076,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.6036604,-67.02922325,"https://www.google.com/maps/search/?api=1&query=10.6036604,-67.02922325"
ems_00077,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.6036702,-67.02791635,"https://www.google.com/maps/search/?api=1&query=10.6036702,-67.02791635"
ems_00078,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60369085,-67.0292939,"https://www.google.com/maps/search/?api=1&query=10.60369085,-67.0292939"
ems_00079,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60370397,-67.02660935,"https://www.google.com/maps/search/?api=1&query=10.60370397,-67.02660935"
ems_00080,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60399874,-67.02629095,"https://www.google.com/maps/search/?api=1&query=10.60399874,-67.02629095"
ems_00081,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60399665,-67.03200502,"https://www.google.com/maps/search/?api=1&query=10.60399665,-67.03200502"
ems_00082,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60399853,-67.0296741,"https://www.google.com/maps/search/?api=1&query=10.60399853,-67.0296741"
ems_00083,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Destroyed,destroyed,100,Photo-interpretation,Building point,978,3,10.6040167,-67.03111448,"https://www.google.com/maps/search/?api=1&query=10.6040167,-67.03111448"
ems_00084,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,2,3,10.60403729,-67.0305176,"https://www.google.com/maps/search/?api=1&query=10.60403729,-67.0305176"
ems_00085,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60406329,-67.03075486,"https://www.google.com/maps/search/?api=1&query=10.60406329,-67.03075486"
ems_00086,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.60408286,-67.03114731,"https://www.google.com/maps/search/?api=1&query=10.60408286,-67.03114731"
ems_00087,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Possibly damaged,possibly-damaged,35,Photo-interpretation,Building point,978,3,10.60411853,-67.03240266,"https://www.google.com/maps/search/?api=1&query=10.60411853,-67.03240266"
ems_00088,EMSR884_AOI12_GRA_MONIT01,995-Unclassified,Unknown,997-Not Applicable,Unclassified,Damaged,damaged,70,Photo-interpretation,Building point,978,3,10.6041314,-67.03120303,"https://www.google.com/maps/search/?api=1&query=10.6041314,-67.03120303"
ems_00089,EMSR884_AOI12_GRA_MONIT01,12-Non-residential Buildings,Unknown,127-Other non-residential buildings,Not Applicable,Damaged,damaged,70,Photo-interpretation,Building point,2,3,10.60429016,-67.03179604,"https://www.google.com/maps/search/?api=1&query=10.60429016,-67.03179604"
