id,official_ems_damage_gra,vlm_damage_class,confidence,action_priority,compare_chip,google_maps_url
ems_00050,Destroyed,likely_destroyed,0.88,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00050_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.609666013809525,-67.01441043095238"
ems_00107,Destroyed,likely_destroyed,high,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00107_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.614425736818182,-66.83890919227272"
ems_00109,Destroyed,likely_destroyed,high,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00109_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.615026033636363,-66.84042306454545"
ems_00118,Destroyed,likely_destroyed,moderate,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00118_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.618575198243244,-66.85117064162162"
ems_00116,Destroyed,likely_destroyed,0.88,review,/data/chips/emsr884-aoi12-caraballeda/ems_00116_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.617992012857142,-66.84787401999999"
ems_00004,Damaged,possible_major_damage,medium,review,/data/chips/emsr884-aoi12-caraballeda/ems_00004_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.602195192222222,-67.03000936444444"
ems_00119,Destroyed,likely_destroyed,0.9,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00119_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.61876540826087,-66.84911322956522"
ems_00003,Damaged,uncertain_comparison_problem,low,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00003_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.6017854115,-67.03119532849999"
ems_00006,Damaged,possible_major_damage,0.62,review,/data/chips/emsr884-aoi12-caraballeda/ems_00006_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.602834119999999,-67.03037675636364"
ems_00007,Damaged,possible_major_damage,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00007_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.602875056086956,-67.02951927652174"
ems_00009,Damaged,possible_major_damage,0.62,review,/data/chips/emsr884-aoi12-caraballeda/ems_00009_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.60337987375,-67.02775086"
ems_00008,Damaged,possible_major_damage,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00008_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.602867767777777,-67.02664012333334"
ems_00010,Damaged,minor_visible_damage,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00010_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.603611574,-67.030110646"
ems_00011,Damaged,uncertain_comparison_problem,0.55,deprioritize,/data/chips/emsr884-aoi12-caraballeda/ems_00011_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.60436128986619,-67.0203681198751"
ems_00012,Damaged,uncertain_comparison_problem,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00012_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.606215724090909,-67.02149627704546"
ems_00013,Damaged,minor_visible_damage,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00013_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.606247440675675,-67.02343160202703"
ems_00014,Damaged,possible_major_damage,0.62,review,/data/chips/emsr884-aoi12-caraballeda/ems_00014_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.606425188170732,-67.02112542914634"
ems_00016,Damaged,possible_major_damage,0.55,review,/data/chips/emsr884-aoi12-caraballeda/ems_00016_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.607200258,-67.019009784"
ems_00015,Damaged,no_change_visible,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00015_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.607088725735295,-67.02160794764706"
ems_00019,Damaged,possible_major_damage,medium,review,/data/chips/emsr884-aoi12-caraballeda/ems_00019_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.608039860704364,-67.00800280220237"
ems_00017,Damaged,uncertain_comparison_problem,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00017_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.6071411545,-67.01585228675"
ems_00020,Damaged,uncertain_comparison_problem,0.25,review,/data/chips/emsr884-aoi12-caraballeda/ems_00020_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.608196335802468,-67.02287456234568"
ems_00021,Damaged,likely_destroyed,high,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00021_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.603547211538462,-67.03168801115385"
ems_00022,Damaged,possible_major_damage,0.5,review,/data/chips/emsr884-aoi12-caraballeda/ems_00022_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.60388637888889,-67.02896722888889"
ems_00025,Damaged,possible_major_damage,0.62,review,/data/chips/emsr884-aoi12-caraballeda/ems_00025_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.604420357837837,-67.0309509154054"
ems_00024,Damaged,uncertain_comparison_problem,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00024_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.604379974,-67.029458654"
ems_00026,Damaged,uncertain_comparison_problem,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00026_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.605147495,-67.03213728749999"
ems_00027,Damaged,uncertain_comparison_problem,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00027_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.60525947732612,-67.0348830284235"
ems_00028,Damaged,possible_major_damage,0.5,review,/data/chips/emsr884-aoi12-caraballeda/ems_00028_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.60493100952941,-67.03313448211765"
ems_00029,Damaged,uncertain_comparison_problem,low,review,/data/chips/emsr884-aoi12-caraballeda/ems_00029_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.605618074285715,-67.03103998142856"
ems_00032,Damaged,likely_destroyed,0.62,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00032_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.607970675,-67.032364653125"
ems_00030,Damaged,uncertain_comparison_problem,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00030_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.606061881666667,-67.025545583"
ems_00031,Damaged,minor_visible_damage,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00031_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.605771187419354,-67.02861496232258"
ems_00034,Damaged,possible_major_damage,medium,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00034_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.608039345008404,-67.03443701038655"
ems_00035,Damaged,likely_destroyed,0.62,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00035_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.608502778703507,-67.02704386155155"
ems_00033,Damaged,minor_visible_damage,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00033_before_after_compare.png,"https://www.google.com/maps/search/?api=1&query=10.608552014930876,-67.02577978308756"
