id,official_ems_damage_gra,vlm_damage_class,vlm_damage_percent,vlm_confidence,vlm_action_priority,post_event_chip,google_maps_url
ems_00050,Destroyed,likely_destroyed,95,0.82,review,/data/chips/emsr884-aoi12-caraballeda/ems_00050_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.609666013809525,-67.01441043095238"
ems_00092,Destroyed,likely_destroyed,85,high,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00092_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.6049670925,-66.8973675125"
ems_00093,Destroyed,uncertain_imagery_problem,0,0.3,review,/data/chips/emsr884-aoi12-caraballeda/ems_00093_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.605046571666668,-66.89867328666666"
ems_00109,Destroyed,likely_destroyed,95,high,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00109_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.615026033636363,-66.84042306454545"
ems_00107,Destroyed,uncertain_imagery_problem,,0.2,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00107_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.614425736818182,-66.83890919227272"
ems_00099,Destroyed,uncertain_imagery_problem,,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00099_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.6114613581203,-66.88505397142856"
ems_00115,Destroyed,likely_destroyed,85,0.45,review,/data/chips/emsr884-aoi12-caraballeda/ems_00115_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.618373467805908,-66.85435146059072"
ems_00116,Destroyed,likely_destroyed,95,moderate,urgent_review,/data/chips/emsr884-aoi12-caraballeda/ems_00116_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.617992012857142,-66.84787401999999"
ems_00119,Destroyed,likely_destroyed,95,0.78,review,/data/chips/emsr884-aoi12-caraballeda/ems_00119_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.61876540826087,-66.84911322956522"
ems_00118,Destroyed,uncertain_imagery_problem,75,0.35,review,/data/chips/emsr884-aoi12-caraballeda/ems_00118_post_event.png,"https://www.google.com/maps/search/?api=1&query=10.618575198243244,-66.85117064162162"
